,Title,Date,Number of Comments,Number of Views
63,   איוונקה טראמפ וג'ארד קושנר בדרכם לביקור בישראל,"intelligent
06/20/2022",36,11777
64,   גורמים בקואליציה: התקדמות מול חה''כ גנאים - אופטימיות שיפרוש מהכנסת,"intelligent
06/20/2022",4,2096
65,   ''אלפי בוחרי ימינה מפגינים בכיכר בעד הממשלה'' - האמנם?! ערוץ 14 יצא לבדוק למי הם הצביעו,"Mr_Black
06/20/2022",46,21769
66,   ברגע זה מתארגנת הפגנת נהגי אוטובוס בכניסה לירושלים,"סודה
06/20/2022",7,5271
67,   חברת הדברה שהתרשלה והשאירה חומר רעיל בגן ילדים בשפלה - הורשעה ונקנסה בסך 30 אלף שקלים.,"מי_אמר_ביבי
06/20/2022",21,4608
68,   ח''כ נעמה לזימי הגישה הצעת חוק להגבלת העלאת שכר הדירה,"החלילן
06/20/2022",112,20852
69,   כדי להפעיל לחץ על אורבך: באופוזיציה יעלו השבוע את החוק לפיזור הכנסת,"רוני53
06/20/2022",18,6983
70,   שאשא ביטון: לא הרמנו ידיים בנוגע לחוק הנאשם.יתכן שעוד נצליח להעביר את החוק| אתנגד לכל ישיבה בממשלה תחת נתניהו,"בנג'ו
06/20/2022",62,11322
71,"   כוחותינו פועלים במחנה פליטים דהיישה בבית לחם , דיווח על 2 מחבלים שנורו אחד במצב קשה","שכוייח וכולי
06/20/2022",16,5686
72,   צפו: לפני 3.5 שנים בנט במסיבת עיתונאים תוקף את שרון אפק הפצ''ר,"דפורמביל
06/20/2022",45,16498
73,   אחרי שניסתה לשכנע שמדובר בתאונה: איראן מאשרת כי הפגיעה במתקן הצבאי בפרצ'ין בחודש מאי-הייתה חבלה מכוונת,"טוק דוגרי
06/20/2022",9,5092
74,"   הגילויים החדשים בפרשת המימד החמישי: מי אישר לחברה, בראשה עמד בני גנץ, למכור מערכת מודיעין למדינת אויב?","דבש ועוקץ
06/20/2022",31,19854
75,"   מפלגת השלטון ימינה מתהדרת בעובדות מול ממשלת נתניהו, אז כמובן שבדקנו אותן","uz7
06/20/2022",28,19296
76,"   הסתדרות המורים מאיימת: ''ממשיכים בעיצומים, לא עוצרים כאן''","Pierre
06/20/2022",144,21693
77,"   בן גביר:''אני אומר בצורה ברורה , כל מי שיש לו רב שמורה לו להצביע למפלגה מסויימת הוא חייב לשמוע בקולו''","מתנחל גאה
06/20/2022",138,24103
78,   נתין זר בגילופין דקר גבר כבן 40 ברחובות,"פורטרט
06/20/2022",14,8095
79,   הרפורמה תחכה: הוותק ימשיך לקבוע את שכר המורים; מצטיינים לא יקבלו תמריצים,"טנגרם
06/20/2022",38,15664
80,   הנהגת ההורים על שביתת המורים: לא יכולים לקבל פגיעה מתמשכת בילדים גם אם אנו בעד העלאת השכר,"פיטנגו
06/20/2022",27,9131
81,   אלביט חושפת: מטע''ד אלקטרו-אופטי חדש לאיסוף מודיעין בטנקים וכלי רק''ם,"Brain Damage
06/20/2022",19,14073
82,"   המחבלים בעזה ממשיכים להתאמן, מחבלי הג'יהאד האסלאמי שגרו הבוקר מספר טילים לים","שכוייח וכולי
06/20/2022",11,1963
83,   וועדת הכספים דנה כעת באישור סעיף 46 לעמותת עד כאן (מאפשר לתורם לקבל זיכוי מס בשיעור של עד 35% על תרומה),"בנג'ו
06/20/2022",4,823
84,"   תחקיר בארה''ב: ''השיח ברשת גרם לי לבצע שינוי מין, שנה אחרי הבנתי שטעיתי''","משטח העקומה
06/20/2022",135,24547
85,   נתוני UN Watch: משנת 2015 אוקראינה הצביעה באו''ם בעד 78% מההחלטות המגנות את ישראל,"יחיעם
06/20/2022",76,19864
86,"   המגזין הבינלאומי Ami מפרסם כי קיבל מידע על כך שייתכן והנעדר מוישי קליינרמן נצפה בקרסטעיר, הונגריה, בתאריך 4.5","Goldfinger
06/20/2022",44,23242
87,   הקואליציה תתמוך בחוק של האופוזיציה: עונש מינימום של 4 שנות מאסר למחבלים שיידו אבנים או בקת''בים לעבר רכב,"בנג'ו
06/20/2022",42,9363
88,   במערך הסייבר הלאומי חושדים: הסיבה לאזעקות השווא שנשמעו אמש בירושלים ובאילת - תקיפת סייבר,"gillads6
06/20/2022",26,15848
89,   שוב נשמעות אזעקות בירושלים,"החדשות החמות
06/20/2022",52,31995
90,"   בפעם החמישית: התחבורה הציבורית תושבת בין 05:00 ל-08:30 במספר ערים ברחבי הארץ, כולל ירושלים","מי_אמר_ביבי
06/20/2022",17,8774
91,   נמשכות עבודות הבנייה הפלסטינית בשטח אש 203 ליד ראש העין,"מורפיוס
06/20/2022",15,6821
92,   ח''כ מאי גולן מהליכוד תובעת דיבה את עו''ד כנרת בראשי | קרב ציוצים בטוויטר,"gold1980
06/20/2022",63,23105
93,   הניו יורק טיימס: רוסיה השתמשה ב-2000 סוגי תחמושת במלחמה באוקראינה - 200 מהם אסורים ע''פ אמנות בינלאומיות,"מונטנה
06/20/2022",10,5346
94,   מחקר חדש: 2 מנות החיסון של פייזר פוגעות באופן זמני בריכוז הזרע ובספירת התנועתיות הכוללת בקרב התורמים,"תשבץ
06/20/2022",51,20178
95,   ח״כ להב הרצנו פנה ליועמ''שית: בדקי אם הליכוד עבר על החוק כשהציע לכאורה לאורבך שיריון תמורת הפרישה מהקואליציה,"מונטנה
06/20/2022",26,4947
96,   במשטרה אובדי עצות וקוראים לחברות פרטיות להציע פתרונות טכנולוגיים לאיתור כלי נשק לא חוקיים שמוטמנים באדמה,"Lanki
06/20/2022",27,10333
97,   פרשן סעודי בכיר: ''הפלשתינים צריכים לקבל אזרחות מירדן'',"Disco
06/20/2022",46,19929
98,"   הממשלה אישרה להקים 4,200 דירות בשדרות","Pierre
06/20/2022",15,8594
99,   אוקראינה תאסור השמעת מוזיקה רוסית והפצת ספרים בשפה הרוסית בשטחה,"גדותן
06/20/2022",11,4179
100,   בכיר טייוואני מאיים בתקיפה על נקודה אסטרטגית בסין,"TalBa
06/20/2022",65,23246
101,   ''זה פשוט טרור'': אבנים גדולות נזרקו לעבר רכבים בכביש משה דיין באשדוד,"מונטנה
06/20/2022",12,14746
102,"   בד''ה, אשה החשובה המחנכת הדגולה מרת מתוקה סבינר ז''ל","יאל
06/20/2022",6,2623
103,   הג'יהאד האיסלאמי הודיע כי בשעה 9 בבוקר יבצע ירי רקטות ופגזים לעבר הים,"doroneli
06/20/2022",29,14270
104,"   יחזרו לבית היהודי? שקד ואורבך במפגש חירום, בוחנים חזרה לבית היהודי","עבד לעם קדוש
06/20/2022",90,24757
105,   ניר אורבך נפגש כעת עם ח''כ גפני שניהם מעוניינים בממשלה חלופית בכנסת הנוכחית,"האדמירל
06/20/2022",78,20038
106,"   אלה השרים שהפילו את הצעת החוק לשקיפות בהצהרות ההון: קארין אלהרר, איילת שקד, יפעת שאשא ביטון, זאב אלקין","doroneli
06/20/2022",24,9433
107,   בנק ישראל יערוך ניסוי במטבע דיגיטלי - מחר יערך כנס של הבנק ''כנס עולם התשלומים העתידי'',"קוד
06/20/2022",13,7143
108,   הילארי קלינטון הודיעה: לא אתמודד בבחירות 2024,"טנגרם
06/20/2022",30,9073
109,"   סער במסר לאורבך: לא מוכן לממשלה חלופית בכנסת עם הליכוד, אם תקדם פיזור כנסת המשמעות בחירות","האדמירל
06/20/2022",106,20586
110,   אימת הפרוטקשן כנופיות שמאיימות על בעלי עסקים בצפון.,"נמר צפוני
06/20/2022",62,22489
111,   מעריב:''בר לב מסייע למיכאלי לדכא באלימות מחאה'': דובר ארגון הנהגים נעצר,"דודידו
06/20/2022",15,7343
112,   תחזית מזג האוויר מעונן חלקית עד בהיר טמפ רגילות לעונה,"בועז דיין
06/20/2022",6,1206
113,   דיווח: איראן ויתרה על הדרישה להסיר את משמרות המהפכה מרשימת ארגוני הטרור של ארה''ב בתמורה לחזרה להסכם הגרעין,"יחיעם
06/20/2022",17,8254
114,   עיתון ישראל היום – 20.06.2022,"כהן22
06/20/2022",1,680
115,   ''הרגשתי שאני הולכת למות'': ד''ר אידית וייסבוך שכמעט נרצחה במרפאה בריאיון ראשון בפנים גלויות,"מונטנה
06/20/2022",9,11420
116,   פדרציית השחייה הבין-לאומית אוסרת על השתתפות טרנסג׳נדרים בתחרויות שחייה של נשים,"Gronk
06/20/2022",83,19141
117,"   עיתונאי ה-BBC קיאן שאריפי, חשף פייק של הטלוויזיה באיראן בו מככב רונאלדו בסיסמאות נגד ישראל","משטח העקומה
06/20/2022",6,5762
